"Municipality","code","Lon","Lat","year","value","srtm"
"Puerto Boyaca",23115010,-74.56666667,5.978333333,2000,27.2991712707182,140
"Otanche",23125080,-74.18455556,5.661666667,2000,21.187675070028,1183
"Buenavista",23125100,-73.94311111,5.514916667,2000,15.7002824858757,2175
"Quipama",23125140,-74.18241667,5.520833333,2000,21.2726443768997,1281
"Santa Sofia",24015090,-73.60227778,5.710666667,2000,15.7149068322981,2379
"Samaca",24015220,-73.49577778,5.511694444,2000,13.4906593406593,2586
"Villa de Leyva",24015300,-73.54394444,5.655833333,2000,16.1071625344353,2118
"Duitama",24025030,-73.16211111,5.967027778,2000,11.708,2764
"La Uvita",24035010,-72.54544444,6.245277778,2000,11.8420454545455,2934
"Beteitiva",24035020,-72.81061111,5.907277778,2000,15.5214076246334,2588
"Toca",24035040,-73.20794444,5.579444444,2000,12.4572271386431,2684
"Guican",24035070,-72.40919444,6.463472222,2000,12.9699115044248,2909
"Duitama",24035120,-73.07447222,5.802444444,2000,13.9643454038997,2514
"Tunja",24035130,-73.35527778,5.553555556,2000,12.9554644808743,2710
"Nobsa",24035150,-72.89075,5.778694444,2000,14.7969879518072,2501
"Paipa",24035170,-73.11636111,5.745916667,2000,13.8914835164835,2501
"Tibasosa",24035180,-72.98333333,5.783333333,2000,14.4389048991354,2479
"Guican",24035240,-72.37172222,6.407222222,2000,6.61204481792717,3869
"Chita",24035250,-72.46633333,6.188333333,2000,11.2823529411765,3040
"Chiscas",24035310,-72.50472222,6.549527778,2000,16.9927927927928,2321
"Sativanorte",24035320,-72.70472222,6.133166667,2000,15.1038922155689,2560
"Boavita",24035330,-72.57877778,6.326194444,2000,16.7909365558912,2457
"Sogamoso",24035340,-72.96791667,5.676944444,2000,14.1245901639344,2482
"Nuevo Colon",35075010,-73.4565,5.353805556,2000,14.6071428571429,2437
"Sutatenza",35075020,-73.44916667,5.022277778,2000,17.5376770538244,1812
"Ramiriqui",35075030,-73.34941667,5.422222222,2000,15.9099173553719,2201
"Macanal",35075040,-73.31669444,4.941055556,2000,16.8891966759003,1377
"Rondon",35085020,-73.20361111,5.358416667,2000,15.5353982300885,1967
"Miraflores",35085040,-73.14477778,5.192555556,2000,18.3922865013774,1526
"Campohermoso",35085050,-73.10366667,5.0345,2000,21.0134185303514,1138
"Pajarito",35195050,-72.71722222,5.407277778,2000,18.2873925501433,1515
"Cubara",37035010,-72.11583333,7.006111111,2000,24.0775956284153,351
