"Code","Variable","Start Date","End Date","Municipality","Departament","Lon","Lat"
23115010,"tmean","19800101","20120724","Puerto Boyaca","Boyaca",-74.56666667,5.978333333
23125080,"tmean","19800101","20131231","Otanche","Boyaca",-74.18455556,5.661666667
23125100,"tmean","19940701","20140731","Buenavista","Boyaca",-73.94311111,5.514916667
23125140,"tmean","19910801","20131031","Quipama","Boyaca",-74.18241667,5.520833333
24015090,"tmean","19860501","20140630","Santa Sofia","Boyaca",-73.60227778,5.710666667
24015220,"tmean","19780102","20140630","Samaca","Boyaca",-73.49577778,5.511694444
24015300,"tmean","19800301","20131231","Villa de Leyva","Boyaca",-73.54394444,5.655833333
24015360,"tmean","20090525","20131130","Saboya","Boyaca",-73.759,5.696222222
24025030,"tmean","19780201","20140630","Duitama","Boyaca",-73.16211111,5.967027778
24035010,"tmean","19860601","20140731","La Uvita","Boyaca",-72.54544444,6.245277778
24035020,"tmean","19910823","20130930","Beteitiva","Boyaca",-72.81061111,5.907277778
24035040,"tmean","19920101","20130930","Toca","Boyaca",-73.20794444,5.579444444
24035070,"tmean","19910803","20131029","Guican","Boyaca",-72.40919444,6.463472222
24035090,"tmean","19940801","19951231","Duitama","Boyaca",-73.05,5.783333333
24035120,"tmean","19800101","20130930","Duitama","Boyaca",-73.07447222,5.802444444
24035130,"tmean","19790101","20140131","Tunja","Boyaca",-73.35527778,5.553555556
24035150,"tmean","19771201","20130930","Nobsa","Boyaca",-72.89075,5.778694444
24035170,"tmean","19800101","20130930","Paipa","Boyaca",-73.11636111,5.745916667
24035180,"tmean","19800203","20020831","Tibasosa","Boyaca",-72.98333333,5.783333333
24035240,"tmean","19780201","20051231","Guican","Boyaca",-72.37172222,6.407222222
24035250,"tmean","19800101","20140331","Chita","Boyaca",-72.46633333,6.188333333
24035280,"tmean","19800101","19940907","Socha","Boyaca",-72.73333333,5.966666667
24035310,"tmean","19780101","20140228","Chiscas","Boyaca",-72.50472222,6.549527778
24035320,"tmean","19770501","20140531","Sativanorte","Boyaca",-72.70472222,6.133166667
24035330,"tmean","19800101","20140228","Boavita","Boyaca",-72.57877778,6.326194444
24035340,"tmean","19830101","20140227","Sogamoso","Boyaca",-72.96791667,5.676944444
24035360,"tmean","20011231","20140718","Socha","Boyaca",-72.99702778,5.985416667
24035370,"tmean","20100115","20140718","El Espino","Boyaca",-72.45266667,6.506722222
24035420,"tmean","20090904","20140228","Cerinza","Boyaca",-72.9385,5.96225
24035430,"tmean","20050422","20140717","Paipa","Boyaca",-73.11636111,5.745916667
35075010,"tmean","19800102","20140630","Nuevo Colon","Boyaca",-73.4565,5.353805556
35075020,"tmean","19800103","20140131","Sutatenza","Boyaca",-73.44916667,5.022277778
35075030,"tmean","19840601","20140331","Ramiriqui","Boyaca",-73.34941667,5.422222222
35075040,"tmean","19820801","20140630","Macanal","Boyaca",-73.31669444,4.941055556
35075070,"tmean","20050215","20140717","Chinavita","Boyaca",-73.35038889,5.21925
35075080,"tmean","20000101","20140718","Ventaquemada","Boyaca",-73.56277778,5.392388889
35085020,"tmean","19800101","20131031","Rondon","Boyaca",-73.20361111,5.358416667
35085040,"tmean","19840605","20130415","Miraflores","Boyaca",-73.14477778,5.192555556
35085050,"tmean","19870101","20131031","Campohermoso","Boyaca",-73.10366667,5.0345
35085060,"tmean","20050419","20140718","Zetaquira","Boyaca",-73.16994444,5.294944444
35085070,"tmean","20000101","20140718","Santa Maria","Boyaca",-73.25669444,4.84125
35085080,"tmean","20050311","20140718","La Capilla","Boyaca",-73.436,5.099194444
35195050,"tmean","19840608","20140630","Pajarito","Boyaca",-72.71722222,5.407277778
37035010,"tmean","19800101","20141016","Cubara","Boyaca",-72.11583333,7.006111111
