"x","y","year","value"
-72.872875,9.098625,2021,1
-72.872625,9.098625,2021,1
-72.872375,9.098625,2021,1
-72.872625,9.098375,2021,1
-72.817875,9.097375,2021,1
-72.817625,9.097375,2021,1
-72.817375,9.097375,2021,1
-72.817875,9.097125,2021,1
-72.817625,9.097125,2021,1
-72.817375,9.097125,2021,1
-72.812375,9.097125,2021,1
-72.817625,9.096875,2021,1
-72.817375,9.096875,2021,1
-72.812625,9.096875,2021,1
-72.837375,9.096625,2021,1
-72.845625,9.096125,2021,1
-72.836125,9.096125,2021,1
-72.813625,9.096125,2021,1
-72.813375,9.096125,2021,1
-72.880875,9.095875,2021,1
-72.845375,9.095875,2021,1
-72.836375,9.095875,2021,1
-72.812625,9.095875,2021,1
-72.812375,9.095875,2021,1
-72.881375,9.095625,2021,1
-72.881125,9.095625,2021,1
-72.880875,9.095625,2021,1
-72.880625,9.095625,2021,1
-72.880375,9.095625,2021,1
-72.845375,9.095625,2021,1
-72.843125,9.095625,2021,1
-72.842875,9.095625,2021,1
-72.842625,9.095625,2021,1
-72.842375,9.095625,2021,1
-72.835625,9.095625,2021,1
-72.835375,9.095625,2021,1
-72.812125,9.095625,2021,1
-72.881125,9.095375,2021,1
-72.880875,9.095375,2021,1
-72.880625,9.095375,2021,1
-72.880375,9.095375,2021,1
-72.880125,9.095375,2021,1
-72.846125,9.095375,2021,1
-72.843375,9.095375,2021,1
-72.843125,9.095375,2021,1
-72.842875,9.095375,2021,1
-72.842625,9.095375,2021,1
-72.842375,9.095375,2021,1
-72.839625,9.095375,2021,1
-72.839375,9.095375,2021,1
-72.839125,9.095375,2021,1
-72.836875,9.095375,2021,1
-72.835875,9.095375,2021,1
-72.835625,9.095375,2021,1
-72.835375,9.095375,2021,1
-72.881375,9.095125,2021,1
-72.881125,9.095125,2021,1
-72.880875,9.095125,2021,1
-72.880625,9.095125,2021,1
-72.880375,9.095125,2021,1
-72.880125,9.095125,2021,1
-72.846125,9.095125,2021,1
-72.843375,9.095125,2021,1
-72.843125,9.095125,2021,1
-72.842875,9.095125,2021,1
-72.842625,9.095125,2021,1
-72.842375,9.095125,2021,1
-72.839875,9.095125,2021,1
-72.839625,9.095125,2021,1
-72.839375,9.095125,2021,1
-72.839125,9.095125,2021,1
-72.838875,9.095125,2021,1
-72.835875,9.095125,2021,1
-72.835625,9.095125,2021,1
-72.835375,9.095125,2021,1
-72.881375,9.094875,2021,1
-72.881125,9.094875,2021,1
-72.880875,9.094875,2021,1
-72.880375,9.094875,2021,1
-72.866125,9.094875,2021,1
-72.865875,9.094875,2021,1
-72.865625,9.094875,2021,1
-72.845625,9.094875,2021,1
-72.843125,9.094875,2021,1
-72.842875,9.094875,2021,1
-72.842625,9.094875,2021,1
-72.839875,9.094875,2021,1
-72.839625,9.094875,2021,1
-72.839375,9.094875,2021,1
-72.839125,9.094875,2021,1
-72.838875,9.094875,2021,1
-72.836875,9.094875,2021,1
-72.836125,9.094875,2021,1
-72.866625,9.094625,2021,1
-72.866375,9.094625,2021,1
-72.866125,9.094625,2021,1
-72.865875,9.094625,2021,1
-72.865625,9.094625,2021,1
-72.865375,9.094625,2021,1
-72.846125,9.094625,2021,1
-72.845625,9.094625,2021,1
-72.845375,9.094625,2021,1
-72.845125,9.094625,2021,1
-72.844875,9.094625,2021,1
-72.844625,9.094625,2021,1
-72.844375,9.094625,2021,1
-72.842875,9.094625,2021,1
-72.842625,9.094625,2021,1
-72.842375,9.094625,2021,1
-72.840625,9.094625,2021,1
-72.839625,9.094625,2021,1
-72.839375,9.094625,2021,1
-72.839125,9.094625,2021,1
-72.838875,9.094625,2021,1
-72.866625,9.094375,2021,1
-72.866375,9.094375,2021,1
-72.866125,9.094375,2021,1
-72.865875,9.094375,2021,1
-72.865625,9.094375,2021,1
-72.865375,9.094375,2021,1
-72.845875,9.094375,2021,1
-72.845625,9.094375,2021,1
-72.845375,9.094375,2021,1
-72.845125,9.094375,2021,1
-72.844875,9.094375,2021,1
-72.844625,9.094375,2021,1
-72.844375,9.094375,2021,1
-72.844125,9.094375,2021,1
-72.842875,9.094375,2021,1
-72.842625,9.094375,2021,1
-72.839625,9.094375,2021,1
-72.839375,9.094375,2021,1
-72.839125,9.094375,2021,1
-72.866875,9.094125,2021,1
-72.866625,9.094125,2021,1
-72.866375,9.094125,2021,1
-72.866125,9.094125,2021,1
-72.865875,9.094125,2021,1
-72.865625,9.094125,2021,1
-72.865375,9.094125,2021,1
