"COD_DPTO","DPTO","MPIO","COD_MUNI","CULTIVO","PERIODO","AREA_SEMBRADA_HA","AREA_COSECHADA_HA","PRODUCCION","RDTOS"
5,"ANTIOQUIA","APARTADO",5045,"CACAO",2007,1830,1640,656,0.4
5,"ANTIOQUIA","TURBO",5837,"CACAO",2007,1002,760,304,0.4
5,"ANTIOQUIA","MACEO",5425,"CACAO",2007,950,798,279,0.4
5,"ANTIOQUIA","YALI",5885,"CACAO",2007,580,269,188,0.7
5,"ANTIOQUIA","NECOCLI",5490,"CACAO",2007,523,151,60,0.4
5,"ANTIOQUIA","VEGACHI",5858,"CACAO",2007,520,460,230,0.5
5,"ANTIOQUIA","REMEDIOS",5604,"CACAO",2007,405,160,40,0.3
5,"ANTIOQUIA","DABEIBA",5234,"CACAO",2007,315,273,137,0.5
5,"ANTIOQUIA","NARIÑO",5483,"CACAO",2007,311,276,110,0.4
5,"ANTIOQUIA","SAN JUAN DE URABA",5659,"CACAO",2007,307,0,0,NA
5,"ANTIOQUIA","CACERES",5120,"CACAO",2007,306,65,25,0.4
5,"ANTIOQUIA","ANORI",5040,"CACAO",2007,290,15,5,0.3
5,"ANTIOQUIA","ARBOLETES",5051,"CACAO",2007,257,0,0,NA
5,"ANTIOQUIA","PUERTO NARE",5585,"CACAO",2007,235,35,18,0.5
5,"ANTIOQUIA","YONDO",5893,"CACAO",2007,233,233,70,0.3
5,"ANTIOQUIA","TAMESIS",5789,"CACAO",2007,214,130,59,0.5
5,"ANTIOQUIA","CARACOLI",5142,"CACAO",2007,185,185,65,0.4
5,"ANTIOQUIA","PUERTO BERRIO",5579,"CACAO",2007,178,56,17,0.3
5,"ANTIOQUIA","CHIGORODO",5172,"CACAO",2007,177,97,50,0.5
5,"ANTIOQUIA","ARGELIA",5055,"CACAO",2007,170,170,46,0.3
5,"ANTIOQUIA","AMALFI",5031,"CACAO",2007,169,95,48,0.5
5,"ANTIOQUIA","VALDIVIA",5854,"CACAO",2007,160,70,46,0.7
5,"ANTIOQUIA","CAREPA",5147,"CACAO",2007,143,48,19,0.4
5,"ANTIOQUIA","SAN PEDRO DE URABA",5665,"CACAO",2007,143,118,35,0.3
5,"ANTIOQUIA","EBEJICO",5240,"CACAO",2007,124,80,24,0.3
5,"ANTIOQUIA","TARAZA",5790,"CACAO",2007,123,35,18,0.5
5,"ANTIOQUIA","URAMITA",5842,"CACAO",2007,123,70,28,0.4
5,"ANTIOQUIA","SAN ANDRES",5647,"CACAO",2007,117,112,33,0.3
5,"ANTIOQUIA","EL BAGRE",5250,"CACAO",2007,111,25,13,0.5
5,"ANTIOQUIA","FRONTINO",5284,"CACAO",2007,86,86,43,0.5
5,"ANTIOQUIA","PUERTO TRIUNFO",5591,"CACAO",2007,81,0,0,NA
5,"ANTIOQUIA","ITUANGO",5361,"CACAO",2007,76,66,33,0.5
5,"ANTIOQUIA","CAÑASGORDAS",5138,"CACAO",2007,67,53,21,0.4
5,"ANTIOQUIA","FREDONIA",5282,"CACAO",2007,67,67,33,0.5
5,"ANTIOQUIA","SAN ROQUE",5670,"CACAO",2007,63,19,5,0.2
5,"ANTIOQUIA","ARMENIA",5059,"CACAO",2007,49,49,25,0.5
5,"ANTIOQUIA","SEGOVIA",5736,"CACAO",2007,47,35,14,0.4
