"codigo","mpio","year","rural","urbana"
1001,"Colombia",2018,11833841,36424653
1001,"Colombia",2019,11969822,37425856
1001,"Colombia",2020,12079485,38292939
1001,"Colombia",2021,12151653,38897845
1001,"Colombia",2022,12221786,39387688
1001,"Colombia",2023,12294641,39861613
5000,"Antioquia",2018,1434161,4972941
5000,"Antioquia",2019,1416468,5133738
5000,"Antioquia",2020,1396521,5281409
5000,"Antioquia",2021,1380572,5402012
5000,"Antioquia",2022,1376295,5511011
5000,"Antioquia",2023,1376120,5618672
5001,"Medellín",2018,44730,2382399
5001,"Medellín",2019,44075,2439470
5001,"Medellín",2020,43260,2490164
5001,"Medellín",2021,42759,2530461
5001,"Medellín",2022,42631,2570327
5001,"Medellín",2023,42625,2611104
5002,"Abejorral",2018,12693,7674
5002,"Abejorral",2019,12481,7777
5002,"Abejorral",2020,12377,7910
5002,"Abejorral",2021,12237,8365
5002,"Abejorral",2022,12199,8721
5002,"Abejorral",2023,12198,9048
5004,"Abriaquí",2018,1871,824
5004,"Abriaquí",2019,1877,833
5004,"Abriaquí",2020,1888,847
5004,"Abriaquí",2021,1867,910
5004,"Abriaquí",2022,1861,959
5004,"Abriaquí",2023,1861,1003
5021,"Alejandría",2018,2172,2485
5021,"Alejandría",2019,2105,2564
5021,"Alejandría",2020,2061,2637
5021,"Alejandría",2021,2037,2734
5021,"Alejandría",2022,2031,2814
5021,"Alejandría",2023,2031,2889
5030,"Amagá",2018,16043,14184
5030,"Amagá",2019,16045,14732
5030,"Amagá",2020,16037,15246
5030,"Amagá",2021,15856,15912
5030,"Amagá",2022,15807,16452
5030,"Amagá",2023,15805,16957
5031,"Amalfi",2018,11454,14508
5031,"Amalfi",2019,11481,15071
5031,"Amalfi",2020,11472,15599
5031,"Amalfi",2021,11342,16154
5031,"Amalfi",2022,11307,16614
5031,"Amalfi",2023,11306,17051
5034,"Andes",2018,23019,20250
5034,"Andes",2019,22862,20851
5034,"Andes",2020,22743,21456
5034,"Andes",2021,22486,22399
5034,"Andes",2022,22417,23160
5034,"Andes",2023,22414,23875
5036,"Angelópolis",2018,3588,2168
5036,"Angelópolis",2019,3538,2252
5036,"Angelópolis",2020,3510,2331
5036,"Angelópolis",2021,3470,2462
5036,"Angelópolis",2022,3460,2563
5036,"Angelópolis",2023,3459,2658
5038,"Angostura",2018,8809,2628
5038,"Angostura",2019,8828,2634
5038,"Angostura",2020,8878,2658
5038,"Angostura",2021,8778,2937
5038,"Angostura",2022,8751,3145
5038,"Angostura",2023,8750,3331
5040,"Anorí",2018,10687,7634
5040,"Anorí",2019,10734,8003
5040,"Anorí",2020,10769,8335
5040,"Anorí",2021,10647,8757
5040,"Anorí",2022,10614,9090
5040,"Anorí",2023,10613,9398
5042,"Santafé de Antioquia",2018,9813,16351
5042,"Santafé de Antioquia",2019,9613,16985
5042,"Santafé de Antioquia",2020,9422,17580
5042,"Santafé de Antioquia",2021,9314,18107
5042,"Santafé de Antioquia",2022,9285,18559
5042,"Santafé de Antioquia",2023,9284,18995
5044,"Anzá",2018,5752,1258
5044,"Anzá",2019,5791,1294
5044,"Anzá",2020,5839,1330
5044,"Anzá",2021,5773,1507
5044,"Anzá",2022,5755,1638
5044,"Anzá",2023,5755,1753
5045,"Apartadó",2018,22549,98454
5045,"Apartadó",2019,21701,102946
5045,"Apartadó",2020,20473,107271
5045,"Apartadó",2021,20237,109514
5045,"Apartadó",2022,20175,111579
5045,"Apartadó",2023,20173,113638
5051,"Arboletes",2018,19548,9747
5051,"Arboletes",2019,19832,10110
5051,"Arboletes",2020,20060,10450
5051,"Arboletes",2021,19833,11151
5051,"Arboletes",2022,19772,11690
5051,"Arboletes",2023,19770,12183
5055,"Argelia",2018,4277,3412
5055,"Argelia",2019,4104,3473
5055,"Argelia",2020,4000,3545
5055,"Argelia",2021,3954,3708
5055,"Argelia",2022,3942,3838
5055,"Argelia",2023,3941,3961
5059,"Armenia",2018,3423,1716
5059,"Armenia",2019,3347,1738
5059,"Armenia",2020,3303,1771
5059,"Armenia",2021,3262,1891
5059,"Armenia",2022,3252,1980
5059,"Armenia",2023,3251,2063
5079,"Barbosa",2018,29795,22174
5079,"Barbosa",2019,30164,23078
5079,"Barbosa",2020,30426,23921
5079,"Barbosa",2021,30082,25119
