"codigodpto","dpto","codigompio","mpio","dimension","value","year","fuente","unidad"
"08","Atlántico","08001","Barranquilla","Medición de desempeño municipal",76.17,"2016","DNP - SPT","Puntos"
"08","Atlántico","08078","Baranoa","Medición de desempeño municipal",48.61,"2016","DNP - SPT","Puntos"
"08","Atlántico","08137","Campo de La Cruz","Medición de desempeño municipal",32.23,"2016","DNP - SPT","Puntos"
"08","Atlántico","08141","Candelaria","Medición de desempeño municipal",33.34,"2016","DNP - SPT","Puntos"
"08","Atlántico","08296","Galapa","Medición de desempeño municipal",58.29,"2016","DNP - SPT","Puntos"
"08","Atlántico","08372","Juan de Acosta","Medición de desempeño municipal",47.57,"2016","DNP - SPT","Puntos"
"08","Atlántico","08421","Luruaco","Medición de desempeño municipal",40.73,"2016","DNP - SPT","Puntos"
"08","Atlántico","08433","Malambo","Medición de desempeño municipal",55.24,"2016","DNP - SPT","Puntos"
"08","Atlántico","08436","Manatí","Medición de desempeño municipal",35.91,"2016","DNP - SPT","Puntos"
"08","Atlántico","08520","Palmar de Varela","Medición de desempeño municipal",43.21,"2016","DNP - SPT","Puntos"
"08","Atlántico","08549","Piojó","Medición de desempeño municipal",24.75,"2016","DNP - SPT","Puntos"
"08","Atlántico","08558","Polonuevo","Medición de desempeño municipal",32.73,"2016","DNP - SPT","Puntos"
"08","Atlántico","08560","Ponedera","Medición de desempeño municipal",33.28,"2016","DNP - SPT","Puntos"
"08","Atlántico","08573","Puerto Colombia","Medición de desempeño municipal",62.99,"2016","DNP - SPT","Puntos"
"08","Atlántico","08606","Repelón","Medición de desempeño municipal",42.41,"2016","DNP - SPT","Puntos"
"08","Atlántico","08634","Sabanagrande","Medición de desempeño municipal",40.85,"2016","DNP - SPT","Puntos"
"08","Atlántico","08638","Sabanalarga","Medición de desempeño municipal",38.97,"2016","DNP - SPT","Puntos"
"08","Atlántico","08675","Santa Lucía","Medición de desempeño municipal",26.19,"2016","DNP - SPT","Puntos"
"08","Atlántico","08685","Santo Tomás","Medición de desempeño municipal",40.83,"2016","DNP - SPT","Puntos"
"08","Atlántico","08758","Soledad","Medición de desempeño municipal",53.31,"2016","DNP - SPT","Puntos"
"08","Atlántico","08770","Suan","Medición de desempeño municipal",41.31,"2016","DNP - SPT","Puntos"
"08","Atlántico","08832","Tubará","Medición de desempeño municipal",54.39,"2016","DNP - SPT","Puntos"
"08","Atlántico","08849","Usiacurí","Medición de desempeño municipal",41.34,"2016","DNP - SPT","Puntos"
"01","Colombia","01001","Colombia","Medición de desempeño municipal",NA,"2016","DNP - SPT","Puntos"
"05","Antioquia","05001","Medellín","Medición de desempeño municipal",80.78,"2016","DNP - SPT","Puntos"
"05","Antioquia","05002","Abejorral","Medición de desempeño municipal",49.48,"2016","DNP - SPT","Puntos"
"05","Antioquia","05004","Abriaquí","Medición de desempeño municipal",44.94,"2016","DNP - SPT","Puntos"
"05","Antioquia","05021","Alejandría","Medición de desempeño municipal",54.94,"2016","DNP - SPT","Puntos"
"05","Antioquia","05030","Amagá","Medición de desempeño municipal",51.88,"2016","DNP - SPT","Puntos"
"05","Antioquia","05031","Amalfi","Medición de desempeño municipal",61.17,"2016","DNP - SPT","Puntos"
"05","Antioquia","05034","Andes","Medición de desempeño municipal",56.31,"2016","DNP - SPT","Puntos"
"05","Antioquia","05036","Angelópolis","Medición de desempeño municipal",50.48,"2016","DNP - SPT","Puntos"
"05","Antioquia","05038","Angostura","Medición de desempeño municipal",61.37,"2016","DNP - SPT","Puntos"
"05","Antioquia","05040","Anorí","Medición de desempeño municipal",51.03,"2016","DNP - SPT","Puntos"
"05","Antioquia","05042","Santafé de Antioquia","Medición de desempeño municipal",55.27,"2016","DNP - SPT","Puntos"
"05","Antioquia","05044","Anzá","Medición de desempeño municipal",44.66,"2016","DNP - SPT","Puntos"
"05","Antioquia","05045","Apartadó","Medición de desempeño municipal",54.32,"2016","DNP - SPT","Puntos"
"05","Antioquia","05051","Arboletes","Medición de desempeño municipal",47.69,"2016","DNP - SPT","Puntos"
"05","Antioquia","05055","Argelia","Medición de desempeño municipal",48.13,"2016","DNP - SPT","Puntos"
