"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"AFG",2001,88.09271247269965882,22245.994617405693745
"AGO",2001,101220.62152450013674067,36963920.633467798345247
"AIA",2001,3.87846070809678835,626.700335025681498
"ALA",2001,396.934825671746744214,75902.964132652217911
"ALB",2001,3729.021031484865875112,1334030.020346484280359
"AND",2001,1.6542129477061634,593.70306114607507
"ARG",2001,147805.950355627048242379,31840785.3564141033093166
"ARM",2001,131.840612264474749846,39469.466034947920167
"ATG",2001,24.07418943832681521,6766.345839359431551
"AUS",2001,218816.302071100132368038,32596190.0597746342326585
"AUT",2001,6926.269007849009275386,2781506.8464997455927852
"AZE",2001,553.29935612138192921,152981.470041123395917
"BDI",2001,1417.24695708633744698,477905.599545716608795
"BEL",2001,971.488195276284763972,418502.754433705445264
"BEN",2001,3749.33110518270194125,1151691.172260407403234
"BES",2001,3.03185725290093328,246.513298866381633
"BFA",2001,59.47710511239312561,241239.3864747984077792
"BGD",2001,4586.99720271470799930,2283942.6106965196927783
"BGR",2001,8202.31911165973340304,2320302.424205006631994
"BHS",2001,432.99941970350663134,81696.499494397621189
"BIH",2001,1496.107104549774148866,614297.520602724861334
"BLR",2001,18358.964278885903396975,5016368.442260861797122
"BLZ",2001,8211.62949254662992215,3499143.907162608684125
"BMU",2001,0.1958197936338976,64.065451876924762
"BOL",2001,140321.26053098025805512,62486106.2063140428610176
"BRA",2001,2746361.55670610284740639,1182558365.30939161159906626
"BRB",2001,12.36746156416883708,3441.224129976010133
"BRN",2001,1244.45382286781185469,836716.2833492965122588
"BTN",2001,297.65963149439671965,166802.8388518671504156
"BWA",2001,130.98388147723631573,21275.7428012202067930
"CAF",2001,31282.43685307152363746,14164331.657024226189560
"CAN",2001,1358153.743750942050227152,256882149.4245782828689551
"CHE",2001,1165.213247325959554299,543632.514114348327059
"CHL",2001,72711.302806946934802513,20899916.2632702625486792
"CHN",2001,230283.214208642365834866,87856226.3115389139603226
"CIV",2001,122711.45023837924511582,46375552.195634323229196
"CMR",2001,39203.71718120804256818,19633042.192266400631395
"COD",2001,455516.73897045691326859,250230727.7833120983872563
"COG",2001,27030.69621787331181764,13960696.358879352257052
"COL",2001,230054.83567237294979840,112494010.0877032765710279
"COM",2001,36.97369320812446109,17649.891559446066929
"CPV",2001,7.13645079432942649,0.0
"CRI",2001,15461.87944946765866127,6926004.5013697267781055
"CUB",2001,18942.90877802538833727,5273462.0873144873820563
"CUW",2001,0.90278852551215279,161.239797771864514
"CYM",2001,20.68161219993164286,3934.235324922569531
"CYP",2001,78.62890207442054863,17735.2349095924218864
"CZE",2001,3460.142585505528887441,1308940.0451214262712555
"DEU",2001,15286.380567888258069257,6107511.8966445829893715
"DMA",2001,22.79275551081271894,13233.959763930981818
"DNK",2001,4329.295853187872250016,1041013.8003639432374290
"DOM",2001,11246.81006554313603670,4115500.374187478342493
"DZA",2001,3468.760252169604684646,873004.3872271098956238
"ECU",2001,45002.46870978925048978,24700503.3698397960846685
"EGY",2001,147.76494268109266719,29099.854635800844555
"ERI",2001,2.52952433260253888,979.729809152543443
"ESP",2001,32811.053519209312908501,9883738.20987120118291806
"EST",2001,16872.43450527267857892,3694617.995070127645276
"ETH",2001,11947.24724356116992276,5126000.391519191819308
"FIN",2001,151003.260500030274497014,27703339.8617866055031419
"FJI",2001,1097.76405439652548713,557775.571919441533322
"FRA",2001,34420.96339433618222931,12687181.771029116617840
"GAB",2001,15082.63772959298313459,8594376.027310554820740
"GBR",2001,23244.127250639832744547,7568571.013376315733898
"GEO",2001,666.55636661217032482,245307.39166178094442
"GGY",2001,0.9576780356467014,249.65148920467124
"GHA",2001,43644.05617298841547179,16670848.265372079776802
"GIB",2001,0.18728563696831596,41.34495780878883
"GIN",2001,18571.52585588293397458,6594447.92188968490921763
"GLP",2001,320.70238556614374234,115508.862897980557522
"GMB",2001,3.29742186304958741,3170.5831600913040455
"GNB",2001,2362.15302834531775958,746417.3873257057573319
"GNQ",2001,3585.41910142410260190,2184838.084823403871530
"GRC",2001,12616.822022141136102386,3180400.009527280368322
"GRD",2001,32.81085886816514372,18245.359951164764796
"GTM",2001,53310.17515246639864681,21362257.8269667113079805
"GUF",2001,3033.28774855398486725,2265069.184192013750751
"GUY",2001,10039.86770689784361826,6274577.614018222726426
"HKG",2001,7.98129121390516516,3394.999711774414143
"HND",2001,42380.17445673976480758,17571601.751340411802341
"HRV",2001,3378.489603634509492930,1176636.481721493309625
"HTI",2001,2469.04829834469446978,833193.217146709232291
"HUN",2001,7522.059331819900349404,2536506.393998606208881
"IDN",2001,744087.98910984714156232,462950810.35289395056818078
"IMN",2001,15.97543761675781385,4487.320094811018521
"IND",2001,62361.17449539596754830,30801379.3410739722102436
"IRL",2001,9559.474140865520495278,3765716.708607325448825
"IRN",2001,332.483705373783850775,76824.867382908148864
"IRQ",2001,16.02663641701606112,4077.909802776096951
"ISR",2001,145.96523805449431916,30289.389761184882843
"ITA",2001,9871.496931661049983316,2547745.977902625882018
"JAM",2001,1246.24152332716050154,594377.543635597713923
"JEY",2001,3.6963388705577263,1427.0006032530091
"JOR",2001,0.52202803109049483,102.018514130883925
"JPN",2001,23977.461618864652918860,8911958.36096226085384858
"KAZ",2001,4534.702741323648560448,1118597.279983472693381
"KEN",2001,19027.21104888777356059,8901810.488784530995417
"KGZ",2001,589.22635599647139464,147416.869104330033393
"KHM",2001,28491.44387094624419121,14289249.30975257303335063
"KNA",2001,45.60965867606337227,17802.831924073311982
"KOR",2001,5503.445334868891144527,1391591.43303382729307705
"LAO",2001,36474.65075046009692606,19282177.121266098098477
"LBN",2001,299.40426759799164119,71031.920723356596298
"LBR",2001,29185.67018032972771140,12754912.364381585706064
"LBY",2001,17.15270151697374407,3236.8835146625932653
"LCA",2001,31.08046320850476724,14829.984453468544593
"LIE",2001,3.42394321194010449,1650.51180891121844
"LKA",2001,3759.51036338267868326,1365098.994125053427022
"LSO",2001,1.14005213082573785,319.321449786710401
"LTU",2001,7961.68739521878413291,2101243.1529791390072268
"LUX",2001,68.609691967322053575,30038.100745495142723
"LVA",2001,24907.621124475981017570,6233433.2925215827633235
"MAC",2001,1.42807033933702266,0.0
"MAF",2001,2.12365598472005213,672.18856399109105
"MAR",2001,1868.28860588490727283,498068.6672825928780348
"MDA",2001,146.68806072638889919,34558.414770975204245
"MDG",2001,86956.83269885374626771,41416007.670333570521233
"MDV",2001,4.74348726237535314,360.51233479595747
"MEX",2001,158302.98849059741510297,49577845.96271170560836920
"MKD",2001,2059.864143129810944456,637235.719338235703445
"MLI",2001,347.87068810634838337,148538.975812929061290
"MLT",2001,1.25191253759982633,291.140507340089974
"MMR",2001,44804.23912730836043129,23010994.42532702323685569
"MNE",2001,858.492080523285905436,347589.431526331305620
"MNG",2001,21056.722644028150708261,4674557.87648418753151056
"MOZ",2001,60936.64967623503271225,19782619.288168841580682
"MRT",2001,31.8384353674479,7422.133728712533
"MSR",2001,7.07855530550021454,2919.628206836808950
"MTQ",2001,192.96524826149410814,90719.828138605861962
"MUS",2001,156.58138352473961569,81008.700054164780728
"MWI",2001,2488.28077045018682562,900310.850319571674337
"MYS",2001,332497.42453449576940301,129631703.64895553468824825
"MYT",2001,31.30269366676486967,15539.917343057284185
"NAM",2001,417.51246074281125997,84889.553671884877827
"NCL",2001,697.92109943515200227,261123.481190271113711
"NER",2001,0.1501956647981771,23.807846313684873
"NGA",2001,43386.49462046709880853,14382839.705369737992503
"NIC",2001,44109.79204906130231276,19939071.8167457954199225
"NLD",2001,736.421623385082753963,261948.524206866177336
"NOR",2001,22445.94139930805378383,4351227.3705094587271066
"NPL",2001,1523.19475188062391746,902963.155986111549343
"NZL",2001,50528.282390250756718973,20463930.828356578913657
