"iso3","year","df_ha","gdp_perc","food_exports","exports_gdp","food_infl","pop_growth","gdp_growth","foreing_invest","tmp_change"
"AGO",2011,69787.5,7675.45,0.038704,60.6699,14.9477,3.63415,3.47198,-3000000000,0.923
"AGO",2008,9512.5,7864.37,NA,72.475,18.5151,3.71055,11.1661,1700000000,0.601
"AGO",2018,3256.25,6933.5,0.339628,40.8363,15.9186,3.27614,-2.00363,-6500000000,1.504
"AGO",2009,59493.8,7643.5,0.081154,58.7573,18.1595,3.70384,0.858713,2200000000,0.744
"AGO",2016,78462.5,7569,0.605232,28.1245,33.1029,3.37827,-2.58005,-180000000,1.847
"AGO",2010,52056.3,7692.43,0.054445,61.5431,17.4267,3.67149,4.40393,-3200000000,1.303
"AGO",2013,61800,8140.53,0.073454,50.7471,10.3502,3.552,4.95454,-7100000000,1.09
"AGO",2004,25737.5,5593.24,NA,58.3803,51.5336,3.45299,10.9529,2200000000,0.558
"AGO",2015,95037.5,8036.41,0.314687,29.7546,8.69268,3.43887,0.943572,10000000000,1.43
"AGO",2012,122994,8036.69,0.06312,55.9401,12.7709,3.59775,8.54219,-1500000000,0.576
"AGO",2005,66006.3,6210.22,NA,65.5263,23.3997,3.5376,15.0289,-1300000000,1.21
"AGO",2007,24856.3,7341.87,0.097308,67.9058,14.1869,3.6806,14.01,-890000000,0.955
"AGO",2006,12750,6681.1,NA,63.4679,17.2863,3.61958,11.5477,-38000000,0.636
"AGO",2014,42393.8,8239.83,0.085171,44.695,7.03418,3.49745,4.82263,3700000000,0.879
"AGO",2017,5031.25,7310.9,0.422553,29.0041,28.912,3.32216,-0.147213,-7400000000,1.064
"ARE",2004,6.25,97757.9,0.85228,63.5677,4.8235,9.17411,9.56644,10000000000,1.011
"ARE",2005,0,90894.9,1.09002,67.5853,5.58582,12.0199,4.85514,11000000000,0.679
"ARE",2006,0,86425.9,0.883837,68.6278,5.06328,14.4247,9.83732,13000000000,1.211
"ARE",2007,56.25,76620.3,0.889205,72.3841,5.57289,15.1773,3.18439,14000000000,0.757
"ARE",2008,31.25,68798.4,0.816996,78.8679,10.3689,13.9101,3.19184,5100000000,0.717
"ARE",2009,75,58374.6,1.1391,79.6533,0.90009,11.0446,-5.24292,1100000000,0.862
"ARE",2010,100,54921.8,1.38785,82.2424,4.44398,7.68722,1.60285,8800000000,1.456
"ARE",2011,37.5,56122.6,1.32693,90.0766,5.85367,4.53624,6.92851,7200000000,1.133
"ARE",2012,37.5,57389.3,1.48347,100.246,5.30706,2.15417,4.48379,9600000000,1.095
"ARE",2013,18.75,59920.2,1.23047,100.548,2.69588,0.614086,5.05308,9800000000,0.756
"ARE",2014,31.25,62452.2,1.47702,99.5608,2.17104,0.176775,4.41009,11000000000,0.935
"ARE",2015,0,65267.4,1.91155,100.87,1.23794,0.527292,5.06033,8600000000,1.561
"ARE",2016,106.25,66510.9,2.24593,101.003,1.02867,1.05327,2.98422,9600000000,1.08
"ARE",2017,43.75,67183.6,2.03084,99.5949,1.21214,1.33947,2.37355,10000000000,1.666
"ARE",2018,6.25,66968.2,4.20724,93.0481,3.54489,1.50394,1.18986,10000000000,1.53
"ARG",2007,504356,22424.1,50.4038,22.6628,11.6115,0.998884,9.00765,6500000000,-0.219
"ARG",2004,345150,18032.6,47.7752,23.8476,11.064,1.05539,9.02957,4100000000,0.421
"ARG",2010,144744,23521.3,49.6399,18.9338,7.51322,0.752218,10.1254,11000000000,0.102
"ARG",2009,365275,21519.9,49.5586,19.561,9.9116,0.999542,-5.91853,4000000000,0.793
"ARG",2012,45068.8,24118.9,52.1628,16.2379,10.2518,1.13691,-1.02642,15000000000,0.787
"ARG",2011,95837.5,24647.6,52.1519,18.4492,6.79099,1.15306,6.00395,11000000000,0.36
"ARG",2016,310919,23189.5,62.8534,12.5271,12.9978,1.05718,-2.08033,3300000000,0.492
"ARG",2014,24050,23550.1,54.3462,14.4055,19.1461,1.09946,-2.51262,5100000000,0.951
"ARG",2005,235513,19426.4,46.4649,23.2459,8.27046,1.03627,8.85166,5300000000,0.228
"ARG",2017,313694,23597.1,59.8249,11.3203,17.6714,1.03713,2.8185,12000000000,1.1
"ARG",2018,169188,22747.2,54.4532,14.4367,32.163,1.01581,-2.6174,12000000000,0.876
"ARG",2006,179294,20777.7,44.5977,23.0267,11.6145,1.01545,8.04715,5500000000,0.547
"ARG",2013,58012.5,24424.1,54.3964,14.6172,7.55516,1.11911,2.40532,9800000000,0.437
"ARG",2008,559050,23103.5,52.5963,22.0609,8.71886,0.99257,4.05723,9700000000,0.55
"ARG",2015,51075,23933.9,59.9397,10.7057,12.2617,1.078,2.73116,12000000000,0.953
"AUS",2007,1300000,44072.9,12.632,20.2084,2.65398,0.624678,3.76849,44000000000,0.887
"AUS",2012,234656,46350.9,11.9823,21.5047,-3.43938,1.74582,3.91736,58000000000,0.258
"AUS",2010,476569,44915,10.5858,19.8169,1.04379,1.55549,2.17234,35000000000,0.624
"AUS",2006,810131,42738.5,14.5343,19.8764,9.22641,1.47523,2.72689,31000000000,0.683
"AUS",2011,788681,45389.2,10.8753,21.4451,5.76153,1.38953,2.46975,66000000000,0.156
"AUS",2004,537188,41472.5,20.7204,17.1763,2.07937,1.15935,4.20545,43000000000,0.698
"AUS",2014,416775,47232.9,13.3019,21.097,2.58313,1.49157,2.56293,63000000000,1.166
"AUS",2008,588994,44743.7,11.5442,20.1669,3.77587,2.00402,3.57701,45000000000,0.582
"AUS",2005,514763,42222.3,16.1322,18.2412,1.7044,1.31979,3.16034,-25000000000,1.181
"AUS",2013,553350,46744.6,12.4049,19.9863,0.109329,1.72115,2.60021,54000000000,1.459
"AUS",2015,475181,47569.3,16.1915,20.0693,0.647626,1.43922,2.1722,47000000000,1.062
"AUS",2009,678188,44649.2,12.9946,23.0281,3.73126,2.06105,1.86683,29000000000,0.986
"AUS",2017,526369,48398.6,13.6692,21.2253,0.308343,1.68452,2.29593,48000000000,1.122
"AUS",2016,887850,48116,14.6721,19.2699,0.161523,1.56194,2.74164,43000000000,1.145
"AUS",2018,565913,49029.1,11.8402,21.8697,0.394545,1.53611,2.87097,61000000000,1.112
"BDI",2004,400,817.461,44.0616,6.95275,10.8647,3.16997,4.83366,44690.7,1.279
"BDI",2005,137.5,798.705,45.1207,6.2,18.4493,3.21717,0.9,584702,0.746228192467604
"BDI",2006,362.5,815.054,31.1809,7.3,0.781366,3.2461,5.41381,31593.8,1.00949473295957
"BDI",2007,225,815.908,35.0457,6.8,8.99157,3.28892,3.45195,500245,1.388
