"","iso3","continent","year","df_ha","gdp_perc","food_exports","exports_gdp","food_infl","pop_growth","gdp_growth","foreing_invest","tmp_change"
"1","AGO","africa",2011,69787.5,7675.45,0.038704,60.6699,14.9477,3.63415,3.47198,-3e+09,0.923
"2","AGO","africa",2008,9512.5,7864.37,NA,72.475,18.5151,3.71055,11.1661,1.7e+09,0.601
"3","AGO","africa",2018,3256.25,6933.5,0.339628,40.8363,15.9186,3.27614,-2.00363,-6.5e+09,1.504
"4","AGO","africa",2009,59493.8,7643.5,0.081154,58.7573,18.1595,3.70384,0.858713,2.2e+09,0.744
"5","AGO","africa",2016,78462.5,7569,0.605232,28.1245,33.1029,3.37827,-2.58005,-1.8e+08,1.847
"6","AGO","africa",2010,52056.3,7692.43,0.054445,61.5431,17.4267,3.67149,4.40393,-3.2e+09,1.303
"7","AGO","africa",2013,61800,8140.53,0.073454,50.7471,10.3502,3.552,4.95454,-7.1e+09,1.09
"8","AGO","africa",2004,25737.5,5593.24,NA,58.3803,51.5336,3.45299,10.9529,2.2e+09,0.558
"9","AGO","africa",2015,95037.5,8036.41,0.314687,29.7546,8.69268,3.43887,0.943572,1e+10,1.43
"10","AGO","africa",2012,122994,8036.69,0.06312,55.9401,12.7709,3.59775,8.54219,-1.5e+09,0.576
"11","AGO","africa",2005,66006.3,6210.22,NA,65.5263,23.3997,3.5376,15.0289,-1.3e+09,1.21
"12","AGO","africa",2007,24856.3,7341.87,0.097308,67.9058,14.1869,3.6806,14.01,-8.9e+08,0.955
"13","AGO","africa",2006,12750,6681.1,NA,63.4679,17.2863,3.61958,11.5477,-3.8e+07,0.636
"14","AGO","africa",2014,42393.8,8239.83,0.085171,44.695,7.03418,3.49745,4.82263,3.7e+09,0.879
"15","AGO","africa",2017,5031.25,7310.9,0.422553,29.0041,28.912,3.32216,-0.147213,-7.4e+09,1.064
"16","ARE","asia",2004,6.25,97757.9,0.85228,63.5677,4.8235,9.17411,9.56644,1e+10,1.011
"17","ARE","asia",2005,0,90894.9,1.09002,67.5853,5.58582,12.0199,4.85514,1.1e+10,0.679
"18","ARE","asia",2006,0,86425.9,0.883837,68.6278,5.06328,14.4247,9.83732,1.3e+10,1.211
"19","ARE","asia",2007,56.25,76620.3,0.889205,72.3841,5.57289,15.1773,3.18439,1.4e+10,0.757
"20","ARE","asia",2008,31.25,68798.4,0.816996,78.8679,10.3689,13.9101,3.19184,5.1e+09,0.717
"21","ARE","asia",2009,75,58374.6,1.1391,79.6533,0.90009,11.0446,-5.24292,1.1e+09,0.862
"22","ARE","asia",2010,100,54921.8,1.38785,82.2424,4.44398,7.68722,1.60285,8.8e+09,1.456
"23","ARE","asia",2011,37.5,56122.6,1.32693,90.0766,5.85367,4.53624,6.92851,7.2e+09,1.133
"24","ARE","asia",2012,37.5,57389.3,1.48347,100.246,5.30706,2.15417,4.48379,9.6e+09,1.095
"25","ARE","asia",2013,18.75,59920.2,1.23047,100.548,2.69588,0.614086,5.05308,9.8e+09,0.756
"26","ARE","asia",2014,31.25,62452.2,1.47702,99.5608,2.17104,0.176775,4.41009,1.1e+10,0.935
"27","ARE","asia",2015,0,65267.4,1.91155,100.87,1.23794,0.527292,5.06033,8.6e+09,1.561
"28","ARE","asia",2016,106.25,66510.9,2.24593,101.003,1.02867,1.05327,2.98422,9.6e+09,1.08
"29","ARE","asia",2017,43.75,67183.6,2.03084,99.5949,1.21214,1.33947,2.37355,1e+10,1.666
"30","ARE","asia",2018,6.25,66968.2,4.20724,93.0481,3.54489,1.50394,1.18986,1e+10,1.53
"31","ARG","latin",2007,504356,22424.1,50.4038,22.6628,11.6115,0.998884,9.00765,6.5e+09,-0.219
"32","ARG","latin",2004,345150,18032.6,47.7752,23.8476,11.064,1.05539,9.02957,4.1e+09,0.421
"33","ARG","latin",2010,144744,23521.3,49.6399,18.9338,7.51322,0.752218,10.1254,1.1e+10,0.102
"34","ARG","latin",2009,365275,21519.9,49.5586,19.561,9.9116,0.999542,-5.91853,4e+09,0.793
"35","ARG","latin",2012,45068.8,24118.9,52.1628,16.2379,10.2518,1.13691,-1.02642,1.5e+10,0.787
"36","ARG","latin",2011,95837.5,24647.6,52.1519,18.4492,6.79099,1.15306,6.00395,1.1e+10,0.36
"37","ARG","latin",2016,310919,23189.5,62.8534,12.5271,12.9978,1.05718,-2.08033,3.3e+09,0.492
"38","ARG","latin",2014,24050,23550.1,54.3462,14.4055,19.1461,1.09946,-2.51262,5.1e+09,0.951
"39","ARG","latin",2005,235513,19426.4,46.4649,23.2459,8.27046,1.03627,8.85166,5.3e+09,0.228
